,address,coffeeshop_name,geometry,yelp_id
312,"476 2nd Ave New York, NY 10016",Dunkin' Donuts / Baskin Robbins,POINT (-73.97907669999999 40.7401067),dunkin-donuts-baskin-robbins-new-york-8
313,"156 Spring St New York, NY 10012",Soho Le Petite Cafe,POINT (-74.00166 40.72432),soho-le-petite-cafe-new-york
314,"41-06 Bell Blvd Bayside, NY 11361",Martha's Country Bakery,POINT (-73.77113 40.76333),marthas-country-bakery-bayside
315,"2783 3rd Ave Ste 2 Bronx, NY 10455",Perry's Coffee Shop,POINT (-73.91992190000001 40.8151093),perrys-coffee-shop-bronx-2
316,"338 Bloomfield St Hoboken, NJ 07030",Empire Coffee & Tea Company,POINT (-74.03075 40.74135),empire-coffee-and-tea-company-hoboken
317,"15367 Horace Harding Expy Flushing, NY 11367",Dunkin' Donuts,POINT (-73.81546 40.739521),dunkin-donuts-flushing
318,"39-34 Bell Blvd Bayside, NY 11361",Nippon Cha,POINT (-73.77167 40.76432),nippon-cha-bayside-2
319,"600 Madison Ave New York, NY 10022",Starbucks,POINT (-73.97242 40.762943),starbucks-new-york-224
320,"2045 Broadway New York, NY 10023",Starbucks,POINT (-73.9826259238683 40.7777438600828),starbucks-new-york-426
321,"510 Sixth Ave New York, NY 10011",Starbucks,POINT (-73.996664 40.736991),starbucks-new-york-307
322,"21525 73rd Ave Oakland Gardens, NY 11364",Bell Diner,POINT (-73.7585488 40.7409068),bell-diner-oakland-gardens-4
323,"175 Varick St New York, NY 10014",Dunkin' Donuts,POINT (-74.00572 40.72737),dunkin-donuts-new-york-77
324,"210-20 Northern Blvd Bayside, NY 11361",Paris Baguette,POINT (-73.7719048 40.7593888),paris-baguette-bayside-3
325,"73-10 Bell Blvd Oakland Gardens, NY 11364",Sweet Adele's,POINT (-73.75829469999999 40.7404077),sweet-adeles-oakland-gardens
326,"944 Broad St Newark, NJ 07175",TM Ward Coffee Co,POINT (-74.17447095442689 40.7310542263148),tm-ward-coffee-co-newark
327,"462 Fashion Ave New York, NY 10018",Starbucks,POINT (-73.9901352 40.7518539),starbucks-new-york-220
328,"9321 Jamaica Ave Woodhaven, NY 11421",Evacha's Coffee Shop,POINT (-73.8516123948332 40.6939506222788),evachas-coffee-shop-woodhaven-3
329,"8513 18th Ave Brooklyn, NY 11214",Dunkin' Donuts,POINT (-74.0021057128906 40.6074066162109),dunkin-donuts-brooklyn-12
330,"112 Morris St Jersey City, NJ 07302",sam a.m.,POINT (-74.0390374 40.7140745),sam-a-m-jersey-city-2
331,"1728 Eastchester Rd Bronx, NY 10461",Starbucks,POINT (-73.84438323974609 40.8471260070801),starbucks-bronx-4
332,"666 Fifth Ave New York, NY 10103",Dunkin' Donuts,POINT (-73.97669980000001 40.7603683),dunkin-donuts-new-york-280
333,"1002 Washington St Hoboken, NJ 07030",bwè kafe,POINT (-74.02751035988329 40.7487255334854),bwè-kafe-hoboken
334,"183 Montgomery St Jersey City, NJ 07302",Short Grain,POINT (-74.04296100000001 40.717208),short-grain-jersey-city
335,"140 Bay St Jersey City, NJ 07302",The Warehouse Cafe,POINT (-74.0391419986115 40.7206973193719),the-warehouse-cafe-jersey-city
336,"1702 Avenue M Brooklyn, NY 11230",Frappe 'n' Wrap,POINT (-73.957910053432 40.6179700531635),frappe-n-wrap-brooklyn
337,"5 Park Pl New York, NY 10007",Dunkin' Donuts,POINT (-74.0079564 40.7128255),dunkin-donuts-new-york-310
338,"157 1st St Hoboken, NJ 07030",Choc O Pain,POINT (-74.03219 40.7375),choc-o-pain-hoboken-2
339,"39-01 Main St Flushing, NY 11354",Taipan Snack,POINT (-73.8300299 40.76011),taipan-snack-flushing
340,"360 Communipaw Ave Jersey City, NJ 07304",The Grind Shop,POINT (-74.062755 40.7117091),the-grind-shop-jersey-city
341,"41 Main St Millburn, NJ 07041",The Coffee Mill Roasters,POINT (-74.3072194383728 40.7243210108557),the-coffee-mill-roasters-millburn
342,"4569 Amboy Rd Staten Island, NY 10312",Filoncino Cafe,POINT (-74.165397644043 40.5425338745117),filoncino-cafe-staten-island
343,"816 Nostrand Ave Crown Heights, NY 11216",Lula Bagel,POINT (-73.9505099 40.6708411),lula-bagel-crown-heights
344,"342 7th St Jersey City, NJ 07302",Seven Sheep Coffee,POINT (-74.0496096527794 40.7265235581526),seven-sheep-coffee-jersey-city
345,"837 Union Street Park Slope, NY 11215",Sir D's Lounge,POINT (-73.97602000000001 40.674945),sir-ds-lounge-park-slope
346,"138 W Central Blvd Palisades Park, NJ 07650",Kudo Society Downtown Cafe,POINT (-74.003074 40.851123),kudo-society-downtown-cafe-palisades-park
347,"251-05 Jericho Tpke Bellerose, NY 11426",Starbucks,POINT (-73.71388330000001 40.7269345),starbucks-bellerose-3
348,"94 Walnut St Montclair, NJ 07042",Red Eye Cafe,POINT (-74.21084403991701 40.8170490258671),red-eye-cafe-montclair
349,"123 Watchung Ave Montclair, NJ 07043",Bluestone Coffee Co,POINT (-74.20517 40.83031),bluestone-coffee-co-montclair-2
350,"1017 Stuyvesant Ave Union, NJ 07083",Van Gogh's Ear Cafe,POINT (-74.26919418980771 40.6966917106997),van-goghs-ear-cafe-union
351,"1045 Tulip Ave Franklin Square, NY 11010",Starving Artist Cafe & Gallery,POINT (-73.67825999999999 40.71317),starving-artist-cafe-and-gallery-franklin-square
