,address,brewery_name,rb_links,type,year_opened,geometry
181,"6 Murray Street, New York, New York, USA  10007", Manhattan Proper,/brewers/manhattan-proper/27034/,Brewpub,2016,POINT (-74.0080433 40.7132703)
182,"63-65 West Market Street, Corning, New York, USA  14830", Market Street Brewing Co. (NY),/brewers/market-street-brewing-co-ny/605/,Brewpub,1997,POINT (-77.0571995 42.1438863)
183,"193 Glen Street, Unit 2, Glens Falls, New York, USA  12801", Mean Max Brew Works,/brewers/mean-max-brew-works/21156/,Brewpub,2014,POINT (-73.64448999999999 43.310148)
184,"Bronx, New York, USA", Metrocraft Beer Company,/brewers/metrocraft-beer-company/25733/,Client Brewer,2016,POINT (-73.8648268 40.8447819)
185,"120 Wilkinson Street            , Syracuse, New York, USA  13204", Middle Ages Brewing,/brewers/middle-ages-brewing/91/,Microbrewery,1996,POINT (-76.1616174 43.0512686)
186,"168 Randall Crossing Road, Himrod, New York, USA  14842", Miles Craft Ales,/brewers/miles-craft-ales/13623/,Microbrewery,2011,POINT (-76.92205249999999 42.6170216)
187,"289 Mill Street, Poughkeepsie, New York, USA  12601-3111", Mill House Brewing Company,/brewers/mill-house-brewing-company/17503/,Brewpub,2013,POINT (-73.9263936 41.7051637)
188,"62 South Erie Avenue, Montauk, New York, USA  11954", Montauk Brewing Company,/brewers/montauk-brewing-company/15837/,Microbrewery,2012,POINT (-71.94400019999999 41.0366231)
189,"New York, New York, USA  10550", Mount Vernon Brewery,/brewers/mount-vernon-brewery/29147/,Brewpub/Brewery,2016,POINT (-73.83308439999999 40.9087956)
190,"400 Hallett Ave - Suite A, Riverhead, New York, USA  11901", Moustache Brewing Company,/brewers/moustache-brewing-company/18706/,Microbrewery,2014,POINT (-72.6678694 40.9205597)
191,"720 Varick Street, Utica, New York, USA  13502", Nail Creek Pub & Brewery,/brewers/nail-creek-pub-brewery/13911/,Brewpub,2012,POINT (-75.24358429999999 43.10349189999999)
192,"4048 State Route 5 and 20, Canandaigua, New York, USA  14424", Naked Dove Brewing,/brewers/naked-dove-brewing/12523/,Microbrewery,2011,POINT (-77.2744311 42.8782354)
193,"6621 State Route 5&20  , East Bloomfield, New York, USA  14443", Nedloh Brewing Company,/brewers/nedloh-brewing-company/20961/,Microbrewery,2014,
194,"P.O. Box 701, Akron, New York, USA  14001", New Buffalo Brewing,/brewers/new-buffalo-brewing/20069/,Client Brewer,2014,POINT (-78.4953015 43.0208924)
195,"New Paltz Village, New Paltz, New York, USA  12561", New Paltz Brewing Company,/brewers/new-paltz-brewing-company/22854/,Microbrewery,2015,POINT (-74.0868095 41.7475933)
196,"245-06 Jericho Turnpike, Floral Park, New York, USA  11001", New World Beverages,/brewers/new-world-beverages/12049/,Client Brewer,2010,POINT (-73.72302549999999 40.7246868)
197,"6933 South Transit Road, Lockport, New York, USA  14094", New York Beer Project,/brewers/new-york-beer-project/24727/,Brewpub,2015,POINT (-78.69689649999999 43.0903344)
